smiles,gap
CC1NC1C(=N)NC=O,0.227
CCN=c1[nH]c(co1)O,0.2252
O=CC1CCC=CC1=O,0.1811
OC1CC(=O)OCC=C1,0.2328
OC1=C(NC=C1)OC=N,0.1732
C1CC=C(CC=C1)C=O,0.1954
NC1=C(O)C(=N)ON=C1,0.1575
CCCC1(CO1)CCC,0.3369
CCC1OC(=N)NC1=O,0.2522
CCOC(C)C=O,0.2268
N#CC1CCOCOC1,0.3055
OCCC(C=O)N1CC1,0.22
c1c(c(c(cn1)F)O)N,0.2077
CCOC1(C)C(C)C1O,0.2913
CC1(O)CCCC1C#C,0.3102
CCC#CCC(=O)C#C,0.1908
CC(C)(C)C1(CO)CN1,0.3031
CCC(C)C1(C)COC1,0.3098
CCC(C)(C=O)C(C)C,0.2225
CC1C[NH2+][C-](C=O)C1=O,0.1926
O=C1OCC1CC#N,0.2791
C#CC(=O)CC(F)(F)F,0.2091
CC1(CCCCC=C1)C,0.26
COCCC(CO)C=O,0.228
CC1CC=CC1,0.2648
c1c(non1)OC=O,0.239
c1cnc(nc1F)C#N,0.2094
c1cnn(n1)CC=O,0.2184
CC[NH2+]C(C)(C)C([O-])=O,0.2672
CC(=O)C(=O)CO,0.1612
CC#CC(C)C1CC1C,0.3014
CCc1c(nno1)CO,0.2235
CC1(C)OC(=N)C1N,0.2685
CCCC1COC1(C)C,0.3172
CN1CC(=O)C1CC#C,0.203
CCC(C)C(O)C(C)=O,0.237
CC1(C)C=CCC1O,0.2642
C1CC(C1)(C#CC#N)O,0.2287
CCC1=NNC(=N)C=C1,0.1584
O=CCCC1CNC1=O,0.2284
c1cc(c(cc1O)F)N,0.1914
OCC1CN=CNC1=O,0.2263
CNC(C)C1=NON=N1,0.173
CCC1C(CO)OC1=N,0.2843
CC1NC(C)(C)C1=O,0.216
OCC1CC=CC1CO,0.2613
C1CCC=CC1,0.268
C1COC=NCC=C1,0.233
COC1CN(C1)CC=O,0.2011
CCOCCN1CC1,0.324
NC1COC1=NCC#N,0.257
CC(C#N)C1CC1,0.3366
c1c(nc([nH]1)O)OC=O,0.2179
C#Cc1cc(c(o1)O)N,0.1707
COc1cc(n[nH]1)C#N,0.2183
CN=C1OCC1(N)C#C,0.2531
CC1CCC1C(C)=NO,0.2524
c1coc(c1OC=O)N,0.1999
CCCC1(CC1)OCC,0.3257
c1cocc1CC(=O)N,0.2358
CCC1(C)OC1C(N)=O,0.2624
